Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
SNFCA,Security National Financial Corporation,4.97,65475634.84,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/snfca
SNHY,Sun Hydraulics Corporation,35.76,946014457.7,n/a,1997,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/snhy
SNMX,"Senomyx, Inc.",7.33,314312320.5,n/a,2004,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/snmx
SNPS,"Synopsys, Inc.",37.32,5815409675,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/snps
SNSS,"Sunesis Pharmaceuticals, Inc.",1.36,82202443.28,n/a,2005,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/snss
SNTA,Synta Pharmaceuticals Corp.,3.08,321457970.7,n/a,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/snta
SOCB,Southcoast Financial Corporation,7.05,50006580.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/socb
SOCL,Global X Social Media Index ETF,18.37,123079000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/socl
SODA,SodaStream International Ltd.,21.09,440464312.6,n/a,2010,Consumer Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/soda
SOFO,"Sonic Foundry, Inc.",9.3001,41192486.53,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sofo
SOHO,Sotherly Hotels Inc.,7.55,78300536.6,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/soho
SOHOL,Sotherly Hotels LP,26.05,0,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/sohol
SOHU,Sohu.com Inc.,44.97,1730308936,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sohu
SONA,"Southern National Bancorp of Virginia, Inc.",11.3301,131526734.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sona
